888,b0929
312,b0155
280,b2255
280,b2311
5793,b4119
283,b3893
10329123,b3633
5793,b0344
977,b1059
439182,b0628
1117,b2752
280,b3843
280,b4117
283,b2153
280,b1262
784,b1386
280,b2323
977,b1301
280,b0339
977,b0929
280,b2599
283,b2719
280,b0340
934,b3469
934,b3477
175,b4067
977,b0662
784,b3908
283,b3041
756,b0935
24621,b0764
280,b2373
280,b0929
283,b2721
439182,b3991
977,b0347
280,b0323
5280832,b3835
175,b0929
798,b0929
280,b3517
2879,b3991
3080609,b0423
193516,b1662
271,b3196
439182,b3867
977,b3835
784,b2215
175,b0096
175,b2296
280,b0115
280,b0078
283,b0241
784,b1638
175,b1849
280,b0516
280,b0726
1117,b0929
283,b4079
283,b2722
5793,b2415
283,b2215
280,b2436
934,b3476
798,b1260
280,b2463
175,b2222
280,b0126
798,b3161
1099,b0935
934,b3915
1117,b2751
813,b0929
175,b0617
312,b2215
175,b0615
193516,b0415
280,b0052
280,b0116
280,b2029
280,b2838
45489773,b0159
784,b3942
813,b0697
934,b3479
813,b0698
813,b3747
5280832,b2311
977,b0979
798,b3035
5280832,b3843
190,b0030
24621,b3917
25245987,b3803
977,b0734
813,b4513
271,b1216
5793,b1817
784,b1656
24621,b2422
784,b1059
280,b0684
283,b3994
784,b1301
10329123,b0915
5793,b1621
784,b0929
5793,b3565
280,b4160
280,b2723
1117,b2425
283,b0904
5793,b2388
283,b2374
280,b3867
784,b2480
280,b3581
280,b0420
280,b1281
280,b1476
977,b1391
1117,b0763
934,b3480
977,b1646
3080609,b2530
280,b1850
977,b0368
283,b1232
283,b0929
280,b3894
280,b1474
1099,b2582
280,b2720
280,b0131
1099,b3781
280,b2938
280,b4196
977,b1732
283,b1277
977,b2552
175,b3957
813,b1250
756,b1415
283,b0903
977,b0123
813,b0047
5793,b2132
190,b1982
1117,b2424
977,b2539
280,b3930
312,b0929
283,b1849
190,b0469
280,b0693
1099,b2762
175,b3115
280,b0521
784,b3781
439182,b0159
280,b2724
813,b1216
280,b3403
813,b3350
798,b3708
280,b3892
283,b2154
977,b2907
280,b2874
977,b0431
175,b4069
977,b0430
5280833,b3835
756,b3058
280,b0505
283,b2579
280,b0120
280,b1800
977,b2574
190,b3714
280,b1475
5793,b0403
283,b3114
280,b2904
190,b0613
280,b0109
280,b1091
190,b0159
977,b0432
813,b1363
280,b3670
175,b2221
280,b2965
977,b1012
977,b0429
280,b3893
1099,b1308
280,b0871
1117,b1206
3080609,b3990
1099,b0368
175,b0871
175,b3588
312,b1592
280,b2719
5793,b3416
175,b1300
280,b2600
283,b0355
977,b1386
280,b2721
280,b1378
1099,b2764
798,b1261
977,b3908
283,b2723
977,b2540
1099,b3425
784,b1646
977,b1388
977,b2538
888,b2215
280,b0368
5793,b4239
280,b3997
784,b1710
280,b2564
934,b3478
24621,b0763
784,b1732
283,b1476
977,b1390
280,b2264
977,b3029
280,b1745
283,b2492
283,b3894
283,b1474
934,b4242
283,b2720
813,b0696
977,b0348
175,b0614
280,b2919
11170991,b2687
1099,b3610
977,b2215
5793,b0124
280,b4079
784,b2582
3080609,b3991
280,b1479
283,b0902
280,b2722
888,b4242
280,b0776
977,b1638
280,b1136
280,b2215
280,b2903
5793,b1101
977,b2542
813,b3290
813,b3849
1099,b2763
5793,b2417
3080609,b3992
175,b0616
977,b1389
5793,b1002
280,b0114
175,b2215
977,b2436
24621,b0827
798,b2215
283,b2724
280,b2905
813,b0842
175,b2421
934,b3816
280,b1095
283,b2483
280,b0186
280,b1493
5793,b2943
439182,b0775
283,b3892
280,b3639
280,b0727
280,b3671
934,b0752
5280833,b2232
977,b1392
888,b3816
280,b0778
1117,b2423
1117,b2215
784,b2574
5793,b3519
5793,b1197
977,b3942
280,b0077
25245987,b3368
175,b0677
977,b0978
190,b4384
175,b2414
977,b0935
280,b2530
283,b3951
977,b0733
280,b0507
283,b1475
977,b3850
1117,b3917
934,b0929
24621,b0765
280,b3956
190,b3665
280,b2895
977,b1656
1117,b2422
280,b4131
