12dgr120_c
12dgr140_c
12dgr160_c
12dgr180_c
12ppd__R_c
12ppd__S_c
5drib_c
5mta_c
23dhacoa_c
5mtr_c
3amac_c
LalaDgluMdap_c
ac_c
acald_c
acetol_c
acgam_c
acgam6p_c
acmalt_c
acmana_c
2dmmq8_c
2dmmql8_c
ade_c
adn_c
3sala_c
adphep_DD_c
adphep_LD_c
4ahmmp_c
4crsol_c
2ohph_c
2ombzl_c
2omhmbl_c
2ommbl_c
2omph_c
4mhetz_c
2oph_c
2oxpaccoa_c
all__D_c
alltn_c
4r5au_c
56dura_c
arab__L_c
etoh_c
csn_c
fald_c
fc1p_c
fcl__L_c
aso4_c
cyan_c
athtp_c
cytd_c
dad_2_c
dad_5_c
betald_c
btal_c
for_c
dcyt_c
fru_c
ca2_c
g3pe_c
g3pi_c
cbm_c
dha_c
gal_c
dhgly_c
dhmptp_c
gcald_c
dhptd_c
cechddd_c
dhptdn_c
chol_c
chtbs6p_c
dmbzid_c
dms_c
dmso_c
cl_c
glc__D_c
co2_c
dscl_c
dtdp4aaddg_c
glyald_c
crn_c
duri_c
glyb_c
glyc_c
dxyl_c
glycogen_c
gmhep1p_c
lipa_cold_c
lipidA_c
malt_c
h2_c
malthx_c
maltpt_c
malttr_c
maltttr_c
h2o2_c
man_c
mdhdhf_c
melib_c
meoh_c
pacald_c
metsox_S__L_c
mg2_c
hhlipa_c
pe120_c
mobd_c
hlipa_c
pg120_c
mql8_c
mqn8_c
mthgxl_c
hqn_c
mththf_c
n2o_c
na1_c
nac_c
ncam_c
ni2_c
no_c
indole_c
no2_c
no3_c
inost_c
o2_c
poaac_c
ppal_c
k_c
psclys_c
lald__D_c
lald__L_c
ura_c
pydx_c
uracp_c
pydxn_c
urate_c
q8_c
q8h2_c
urea_c
uri_c
rbflvrd_c
rbl__L_c
rdmbzi_c
thptdn_c
xan_c
rephaccoa_c
rib__D_c
xtsn_c
rml_c
thym_c
thymd_c
xu5p__L_c
rmn_c
xyl__D_c
tmao_c
xylu__D_c
xylu__L_c
12ppd__R_e
12ppd__S_e
tre_c
seln_c
34dhpac_e
slnt_c
so2_c
so3_c
so4_c
4hoxpacd_e
5mtr_e
LalaDgluMdap_e
ac_e
acald_e
acgal_e
acgam_e
acmana_e
tagur_c
tartr__L_c
ade_e
adn_e
all__D_e
cl_e
alltn_e
cm_e
co2_e
arab__L_e
arbt_e
unagamu_c
crn_e
csn_e
cyan_e
glyb_e
glyc_e
cytd_e
ca2_e
dad_2_e
dcyt_e
chol_e
dha_e
ppal_e
h2_e
dms_e
dmso_e
h2o2_e
psclys_e
duri_e
pydx_e
pydxn_e
etoh_e
fald_e
rib__D_e
rmn_e
indole_e
inost_e
sbt__D_e
k_e
for_e
slnt_e
fru_e
so2_e
so3_e
so4_e
lipa_cold_e
sucr_e
g3pe_e
malt_e
tartr__L_e
g3pi_e
malthx_e
maltpt_e
gal_e
gal_bD_e
malttr_e
maltttr_e
man_e
thym_e
thymd_e
galt_e
melib_e
meoh_e
tmao_e
tre_e
metsox_S__L_e
glc__D_e
mg2_e
mnl_e
mobd_e
glyald_e
n2o_e
na1_e
nac_e
ni2_e
no_e
no2_e
ura_e
no3_e
urea_e
novbcn_e
uri_e
o2_e
xan_e
xtsn_e
xyl__D_e
xylu__L_e
pacald_e
12dgr120_p
12dgr140_p
12dgr160_p
12dgr180_p
12ppd__R_p
12ppd__S_p
chol_p
cl_p
34dhpac_p
cm_p
4hoxpacd_p
co2_p
5mtr_p
LalaDgluMdap_p
gal_p
ac_p
crn_p
gal_bD_p
acald_p
acgal_p
csn_p
acgam_p
galt_p
acmana_p
cyan_p
ade_p
adn_p
cytd_p
glc__D_p
dad_2_p
dcyt_p
all__D_p
alltn_p
dha_p
glyald_p
glyb_p
dms_p
glyc_p
dmso_p
arab__L_p
arbt_p
ca2_p
duri_p
h2_p
h2o2_p
etoh_p
fald_p
n2o_p
na1_p
indole_p
nac_p
ni2_p
inost_p
no_p
no2_p
for_p
fru_p
no3_p
k_p
novbcn_p
o2_p
lipa_cold_p
g3pe_p
g3pi_p
so3_p
so4_p
malt_p
malthx_p
maltpt_p
sucr_p
malttr_p
maltttr_p
pacald_p
man_p
tartr__L_p
pe120_p
melib_p
meoh_p
thym_p
thymd_p
pg120_p
metsox_S__L_p
tmao_p
mg2_p
tre_p
mnl_p
mobd_p
ura_p
urea_p
uri_p
xan_p
xtsn_p
xyl__D_p
xylu__L_p
ppal_p
psclys_p
pydx_p
pydxn_p
rib__D_p
rmn_p
sbt__D_p
slnt_p
so2_p
